run_date,run_time,index_date,bond_date,akshare_dividend_yield_2,lixinger_date,lixinger_dividend_yield,lixinger_percentile_10y,lixinger_percentile_80_value,lixinger_source,bond_10y_yield,spread,percentile_signal,absolute_signal,spread_signal,headline_signal,source_note
2026/6/3,2026/6/3 14:18,2026/6/2,2026/6/2,4.83,,,,,理杏仁限流,1.7036,3.1264,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁限流: Open API 返回 HTTP 429 Too Many Requests；为避免加重限流，已跳过公开页面回退"
2026/6/4,2026/6/4 12:05,2026/6/3,2026/6/3,4.83,,,,,理杏仁待验证,1.7128,3.1172,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026/6/5,2026/6/5 12:02,2026/6/4,2026/6/4,4.85,,,,,理杏仁待验证,1.7081,3.1419,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-08,2026-06-08 12:02:53,2026-06-05,2026-06-05,4.85,,,,,理杏仁待验证,1.7207,3.1292999999999997,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-09,2026-06-09 12:02:42,2026-06-08,2026-06-08,4.9,,,,,理杏仁待验证,1.7275,3.1725000000000003,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-10,2026-06-10 09:41:48,2026-06-09,2026-06-09,4.9,,,,,理杏仁待验证,1.7376,3.1624000000000003,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-11,2026-06-11 15:03:00,2026-06-10,2026-06-10,4.93,,,,,理杏仁待验证,1.7476,3.1823999999999995,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-12,2026-06-12 12:45:42,2026-06-11,2026-06-11,4.95,,,,,理杏仁待验证,1.7475,3.2025,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-16,2026-06-16 12:04:44,2026-06-15,2026-06-15,4.94,,,,,理杏仁待验证,1.7446,3.1954000000000002,历史分位点待验证,小额定投,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-17,2026-06-17 12:04:53,2026-06-16,2026-06-16,5.03,,,,,理杏仁待验证,1.7324,3.2976,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
2026-06-18,2026-06-18 14:00:54,2026-06-17,2026-06-17,5.08,,,,,理杏仁待验证,1.727,3.3529999999999998,历史分位点待验证,加大买入,历史上偏强买点,历史分位点待验证，暂不判定重点买入区间,"AKShare: stock_zh_index_value_csindex(000922, 股息率2), bond_zh_us_rate; 理杏仁待验证: 未配置 LIXINGER_TOKEN; 公开页面失败：HTTP Error 429: Too Many Requests"
